winery,wine,year,rating,num_review,region,price,type,grapes,region_map,region_map2
Sonsierra,Tempranillo Blanco 2016,2016,3.4,33,España / Rioja / Rioja Alta,8.90,Vino blanco,100 % de Tempranillo Blanco,Rioja,Rioja
Terra i Vins,Brúixola Blanc 2016,2016,3.8,32,España / Cataluña / Priorato,16.45,Vino blanco,"Garnacha Blanca, Pedro Ximenez, Macabeo",Cataluña,Cataluña
Agro de Bazán,Granbazán Limousin Albariño 2017,2017,4.2,193,España / Galicia / Rías Baixas,23.70,Vino blanco,100 % de Albariño,Galicia,Galicia
Azpilicueta,Crianza 2018,2018,3.7,133,España / Rioja,8.31,Vino tinto,"85 % de Tempranillo, 10 % de Graciano, 5 % de Mazuelo",Rioja,Rioja
Jané Ventura,Finca Els Camps Macabeu 2015,2015,3.8,35,España / Cataluña / Penedès,15.90,Vino blanco,100 % de Macabeo,Cataluña,Cataluña
Joan Rubió,Joanots 2018,2018,3.7,38,España / Cataluña / Penedès,20.05,Vino blanco,100 % de Macabeo,Cataluña,Cataluña
Bodegas Valdemar,Conde de Valdemar Reserva 2015,2015,4.1,223,España / Rioja,9.90,Vino tinto,100 % de Tempranillo,Rioja,Rioja
Bajoz,Tinta de Toro 2020,2020,3.4,168,España / Castilla y León / Toro,3.50,Otro,100 % de Tempranillo,Castilla y León,Castilla y León
Hacienda el Ternero,Torno Crianza 2015,2015,3.7,255,España / Rioja / Rioja Alta,8.25,Vino tinto,100 % de Tempranillo,Rioja,Rioja
Torre de Oña,Rioja Reserva 2010,2010,3.8,809,España / Rioja,15.50,Vino tinto,"Tempranillo, Mazuelo",Rioja,Rioja
Bodega Otazu,Otazu Chardonnay 2020,2020,3.8,300,España / Navarra / Otazu,8.30,Otro,100 % de Chardonnay,Navarra,Navarra
Bodegas Cosme Palacio,Glorioso Rioja Crianza 2000,2000,3.9,25,España / Rioja,14.50,Vino tinto,100 % de Tempranillo,Rioja,Rioja
Sicus,Garrut 2018,2018,3.7,25,España / Cataluña / Penedès,16.95,Vino tinto,100 % de Monastrell,Cataluña,Cataluña
Marqués de Cáceres,Rioja Rosado 2021,2021,3.6,255,España / Rioja,5.32,Vino rosado,"Tempranillo, Garnacha Tinta",Rioja,Rioja
